畢業總共需要多少學分？,請參考入學當年度的必選修科目表，通常為128學分左右（依學年度規定為準）。
體育課算在畢業學分內嗎？,體育為必修零學分，必須修畢，但不計入最低畢業學分數。
通識課程需要修多少學分？,依據校定必修規定，通識需修滿一定學分（通常為20-22學分，依入學年度為準）。
什麼是擋修規定？,擋修是指必須先修過並及格某門先修課程，才能修進階課程。例如：微積分擋修機率與統計。
如果先修課程被當，可以同時修進階課程嗎？,不行，必須先修及格先修課程，才能修習有擋修限制的進階課程。
可以超修學分嗎？,前一學期學業成績平均達80分以上，或名次在班級前20%，可依規定申請超修1至2科（最高25-27學分）。
低修學分的下限是多少？,大一至大三每學期不得少於16學分，大四不得少於9學分。
可以跨系選修嗎？,可以，跨系選修學分可計入外系選修學分，但須符合系上承認之上限規定。
大四如果學分已經修滿，可以不選課嗎？,不行，大四每學期仍有最低9學分的限制，除非已達畢業條件或辦理休學。
選課分發是先搶先贏嗎？,東吳大學選課採志願登記與電腦分發，非先搶先贏，但加退選階段有部分名額為先搶先贏。
退選課程會留下紀錄嗎？,在加退選期間內退選不會有紀錄；若是「期中停修」，成績單上會標註「停修」，但不計入學期平均。
一學期最多可以停修幾門課？,每學期停修以兩科為限，且停修後總學分數不得低於最低下限。
暑期可以修課嗎？,可以，學校會在暑假開設部分重修或必修課程，需另外繳交學分費。
如何申請學分抵免？,新生、轉學生可於入學第一學期開學第一週內，持原校成績單至系辦與教務處辦理抵免。
微積分可以退選嗎？,微積分為系上必修，若不修足學分將無法畢業，請謹慎評估退修風險。
什麼是「全學年課程」？,分為上下兩學期的課程，通常規定需上下學期皆修畢及格，才能獲得完整學分。
專題研究是必修嗎？,是的，「專題研究」為資科系的重點必修，通常在大三下至大四上進行。
英文檢定可以抵免大一英文嗎？,若入學前提供符合標準的托福、多益等英檢成績，可依學校規定申請免修大學英文。
校際選課（去外校修課）的規定為何？,本校未開設的課程才可申請校際選課，且須經系主任及教務處核准。
畢業門檻除了學分還有其他規定嗎？,除了總學分，還需滿足英文畢業門檻、資訊能力畢業門檻及完成必修專題。
資科系的「畢業專題」通常是幾個人一組？,通常為 3 至 5 人一組，由學生自行尋找組員，但實際規定需依當學期系辦公室及指導教授的公告為準。
系上必修課如果被當，可以去別系修同名的課來抵免嗎？,原則上資科系的系定必修需在系上修習。若因衝堂或延畢等特殊情況需至外系修課，必須事先填寫報告書並經系主任核准，否則不予承認。
系上有專屬的獎學金嗎？,有，例如「文華獎學金」，專門提供給巨資學院與資料科學系學生申請。
「文華獎學金」提供給學生的獎項有哪些？,學生類獎項包含：「學業表現優良獎」、「競賽表現優良獎」及「研究表現優良獎」三項。
申請系上獎學金需要什麼條件？,通常需要前一學期學業與操行成績達標（如學業80分以上），並可能需提供參與系上活動證明。
書卷獎的標準是什麼？,每班學期成績前三名，且操行成績達80分以上，無不及格科目者。
書卷獎的獎金是多少？,通常第一名約3000元，第二名2000元，第三名1000元，並頒發獎狀（依當學期公告為準）。
可以同時領取多種獎學金嗎？,視各獎學金辦法而定，校內某些獎學金有互斥規定，不能重複領取性質相同的助學金。
弱勢學生有額外補助嗎？,學校設有「弱勢學生助學計畫」，符合家庭年所得標準的學生可申請學雜費減免與生活助學金。
什麼是急難救助金？,若學生家庭突遭變故導致就學困難，可隨時向學務處申請急難救助金。
有出國交換的獎學金嗎？,國際處提供「學海飛颺」等出國交換獎學金，系上若有經費也可能提供專屬補助。
獎學金申請的常見時間點？,多數獎學金於每學期開學後一個月內開放申請，請密切關注系辦與學務處公告。
如何查詢目前開放申請的獎學金？,可至東吳大學德育中心「獎學金查詢系統」或資科系系網公告查詢。
申請獎學金需要準備推薦信嗎？,部分校外或高額獎學金會要求系上教授的推薦信，一般成績優良獎學金通常不需要。
專題得獎有獎金嗎？,若參與校內外大數據或專題競賽獲獎，系上或院上通常會核發獎勵金以資鼓勵。
校外機構的獎學金資訊在哪裡看？,學務處德育中心會定期更新校外企業、基金會、各地同鄉會提供的獎學金資訊。
如果被記過可以申請獎學金嗎？,大部分獎學金會要求操行成績（需80分以上），若有被記過紀錄通常會失去申請資格。
