knowledge_id,類別,子類別,知識內容,適用對象,依據來源,來源連結或檔名,來源位置/備註,關鍵標籤,可信度,備註
K00001,課程地圖文字化,課程基本資訊,國文是東吳資料科學系114學年度課程表中的校訂共同必修課程，共4學分，通常安排於大一上、大一下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,國文,校訂共同必修,大一上、大一下,4學分",高,
K00002,課程地圖文字化,修課定位,國文在課程規劃中的定位為「畢業共同必修」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,國文,校訂共同必修,大一上、大一下,4學分",高,
K00003,課程地圖文字化,選課提醒,學生規劃國文時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,國文,校訂共同必修,大一上、大一下,4學分",高,
K00004,課程地圖文字化,一般修課提醒,國文未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,國文,校訂共同必修,大一上、大一下,4學分",中,未列特殊先修不代表永遠無限制
K00005,課程地圖文字化,課程基本資訊,外文(一)(二)是東吳資料科學系114學年度課程表中的校訂共同必修課程，共8學分，通常安排於大一至大二修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,外文(一)(二),校訂共同必修,大一至大二,8學分",高,
K00006,課程地圖文字化,修課定位,外文(一)(二)在課程規劃中的定位為「需依外文相關規定修讀」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,外文(一)(二),校訂共同必修,大一至大二,8學分",高,
K00007,課程地圖文字化,選課提醒,學生規劃外文(一)(二)時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,外文(一)(二),校訂共同必修,大一至大二,8學分",高,
K00008,課程地圖文字化,一般修課提醒,外文(一)(二)未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,外文(一)(二),校訂共同必修,大一至大二,8學分",中,未列特殊先修不代表永遠無限制
K00009,課程地圖文字化,課程基本資訊,生命關懷是東吳資料科學系114學年度課程表中的校訂共同必修課程，共1學分，通常安排於依共通科目開課時段修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,生命關懷,校訂共同必修,依共通科目開課時段,1學分",高,
K00010,課程地圖文字化,修課定位,生命關懷在課程規劃中的定位為「共同必修」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,生命關懷,校訂共同必修,依共通科目開課時段,1學分",高,
